Question,Answer
落とし物,案内所をご案内しましょう。店舗を出て右手、2番出口付近です。
ベビーカー,案内所をご案内しましょう。店舗を出て右手、2番出口付近です。
手荷物カート,建物出口をでて、バス乗り場付近にございます。チェックインカウンターまでお持ちいただけます。
駐車場,まずは何番駐車場をご使用か確認してください。P3、P4の場合は第2ターミナル、P5の場合は国際線です。P1をご使用の場合は、右手3番出口付近のエスカレーターを上ると、連絡通路がございます。P2をご使用の場合は、北ウイングの出口7番付近のエスカレーターで3階に上がっていただくと連絡通路がございます。
P1駐車場,右手3番出口付近のエスカレーターを上ると、連絡通路がございます。
P2駐車場,北ウイングの出口7番付近のエスカレーターで3階に上がっていただくと連絡通路がございます。
P3駐車場,第2ターミナルに接続した駐車場です。第2ターミナルをご案内ください
P4駐車場,第2ターミナルに接続した駐車場です。第2ターミナルをご案内ください
展望デッキ,展望デッキには建物中央、マーケットプレイスのエレベーター・エスカレーターをご使用ください。6階最上階にございます。
スタバ,マーケットプレイス3階もしくは5階羽田ハウスエリアにございます。建物中央のエレベータ・エスカレーターをご使用ください。
スターバックス,マーケットプレイス3階もしくは6階羽田ハウスエリアにございます。建物中央のエレベータ・エスカレーターをご使用ください。
ハラル商品,国内線売店で販売しているハラル商品はガトードボワイヤージュの「幸せを呼ぶ馬車道馬蹄パイ」と常盤堂雷おこし本舗の「雷おこし」です。
羽田限定商品,羽田限定商品で人気なのは和菓子であれば【羽雲】、洋菓子であれば【ベイクドショコラ】です。羽雲は叶匠寿庵とのコラボ商品で、もっちりとした皮と上品な甘さのあんこが特徴です。ベイクドショコラは、焼チョコレートを使用しているので、夏や温かい室内でもチョコレートが溶けません。季節によってお味が変わります。
東京限定商品,羽田限定商品で人気なのは和菓子であれば【羽雲】、洋菓子であれば【ベイクドショコラ】です。羽雲は叶匠寿庵とのコラボ商品で、もっちりとした皮と上品な甘さのあんこが特徴です。ベイクドショコラは、焼チョコレートを使用しているので、夏や温かい室内でもチョコレートが溶けません。季節によってお味が変わります。
日本酒,日本酒はピア1・ピア4・食Aで取り扱っています。ご希望の商品がある場合は、電話で店舗に在庫を確認してからご案内してください。
焼酎,焼酎はピア1・ピア4・食Aで取り扱っています。ご希望の商品がある場合は、電話で店舗に在庫を確認してからご案内してください。
ワイン,ワインは、T1であれば地下1階紀ノ国屋、どさんこプラザ。T2であれば東京食賓館A、3階ピーロートでお取り扱いしております
お酒は機内持ち込みできるか,国内線であれば持ち込み可能です。国際線をご利用であれば、ゲート内の免税エリアでの購入をお勧めましょう。国際線は行き先・乗り継ぎ等で持ち込み可能条件等が異なるので注意してください。
おもたせに適した商品,洋菓子であればウエストのリーフパイ、和菓子であれば虎屋等が定番です。店舗内でお探しであれば、包装紙のある商品をご提案してください。
仏事に適した商品,仏事であれば、ひよこや瓢月堂、文明堂等、包装紙の暗めの商品が適しています。虎屋は金の翼・和菓子館であれば仏用の包装紙に変更可能です。鳩サブレも仏用包装が可能ですが、対応可能スタッフがいるか、確認してからご案内するようにしてください。包装用紙の御色にこだわりが無ければ、仏事掛け紙をご提案しましょう。
バースデーケーキ,ホールケーキの取り扱いはございません。カットケーキでよろしければ、T2東京食賓館BのTOKYOチューリップローズはいかがでしょうか。千疋屋のカップデザートや、オッジの生チョコレートケーキ、ガトードボワイヤージュのシブースト等をご提案しても良いでしょう。
